111	992.7367	1006.1834	99.8966	FS120 SL
112	994.6731	1005.6414	99.8779	FS121 UB
113	992.7378	1006.2310	99.8915	FS122 SL
114	992.2019	1004.8996	99.8371	FS123 UB
115	992.7893	1006.0448	99.8715	FS124 SL
116	993.3404	1005.1020	99.8583	FS125 SL
117	994.6962	1005.6085	99.8652	FS126 UB
118	993.6141	1006.0679	99.8819	FS127 UB
119	992.8717	1006.4884	99.8806	FS128 UB N=2
120	993.7650	1004.9149	99.8553	FS130 UB
121	993.8246	1004.8290	99.8543	FS131 SL
122	994.4177	1005.6735	99.8558	FS132 UB
123	994.5205	1005.6341	99.8544	FS133 SL
124	992.2497	1005.5784	99.8767	FS134 UB
125	992.7717	1006.0399	99.8381	FS135 B
126	992.8444	1006.2024	99.8385	FS136 SL
127	992.4889	1005.2069	99.8570	FS137 UB
128	992.2030	1005.7186	99.8632	FS138 T
129	993.6889	1004.8826	99.8539	FS139 UB
130	994.2841	1005.6675	99.8496	FS140 UB
131	994.1867	1005.6252	99.8500	FS141 SL
132	993.4183	1005.8854	99.8564	FS142 UB
133	992.8560	1004.9991	99.8550	FS143 UB
134	992.6706	1006.2609	99.8571	FS144 SL
135	992.4235	1005.2880	99.8525	FS145 SL
136	992.3327	1005.2975	99.8535	FS146 UB
137	991.8413	1005.7117	99.8659	FS147 UB
138	993.0184	1006.2177	99.8888	FS148 DB
139	992.4885	1006.2309	99.8545	FS149 SL N=2
140	992.6923	1006.3929	99.8574	FS152 UB
141	993.3064	1006.1782	99.8818	FS153 SL
142	993.0775	1006.0125	99.8827	FS154 B
143	993.7828	1005.7805	99.8639	FS155 UB
144	992.6731	1006.5521	99.8720	FS156 UB
145	993.1459	1006.0150	99.8741	FS157 UB
146	991.9515	1005.3589	99.8603	FS158 UB
147	992.8729	1006.4455	99.8584	FS160 B
148	993.2889	1006.0407	99.8575	FS161 UB
149	993.2489	1005.8749	99.8567	FS162 SL
150	992.4859	1006.3369	99.8549	FS163 SL
151	991.7394	1005.8277	99.8606	FS165 UB
152	991.7866	1005.8078	99.8602	FS164 B
153	992.0469	1006.3849	99.8927	FS166 SL
154	994.0113	1005.4080	99.8677	FS167 T
155	991.7810	1005.6248	99.8540	FS168 FL
156	992.3430	1006.2746	99.8486	FS169 UB
157	992.2228	1006.3484	99.8681	FS170 UB
158	992.2561	1006.4829	99.8666	FS171 SL N=3
159	993.2952	1006.7990	99.8972	FS172 T
160	993.3153	1006.4352	99.8931	FS173 UB
161	995.2057	1006.9327	99.8797	FS174 SL
162	993.5444	1006.4692	99.8668	FS175 T
163	993.1096	1005.6638	99.8526	FS176 B
164	992.2034	1006.4511	99.8468	FS177 UB
165	992.0666	1006.5211	99.8474	FS178 SL
166	993.0702	1006.4969	99.8838	FS179 UB
167	991.5845	1005.4924	99.8727	FS180 UB
168	994.9241	1007.2000	99.8569	FS181 UB
169	993.2814	1006.4725	99.8775	FS182 UB
170	993.1543	1006.6717	99.8809	FS183 NAIL
171	993.2332	1006.7659	99.8810	FS184 SL
172	991.5993	1005.1802	99.8558	FS185 B
173	994.5918	1006.8767	99.9062	FS188 T
174	993.4772	1006.6695	99.8914	FS189 UB
175	992.3643	1006.6863	99.8581	FS190 UB
176	992.1410	1006.5794	99.8449	FS191 SL
177	994.3512	1006.8246	99.8745	FS192 B
178	993.7081	1007.3289	99.8674	FS195 UB
179	994.7693	1007.2616	99.8587	FS196 UB
180	994.5661	1006.8574	99.8551	FS197 B
181	993.5915	1006.6692	99.8732	FS198 UB
182	993.4576	1006.6085	99.8740	FS199 SL
183	991.8860	1006.7250	99.9177	FS200 UB
184	991.3459	1005.5656	99.8711	FS201 SL
185	994.3351	1006.7072	99.8534	FS202 UB
186	991.8809	1006.5306	99.8383	FS203 SL
187	992.7739	1005.9796	99.8605	FS204 SL
188	994.4140	1006.5247	99.8595	FS205 SL
189	993.2275	1006.8594	99.8571	FS206 SL
190	991.7657	1006.6104	99.8573	FS208 UM
191	991.7846	1006.7601	99.8801	FS209 SL
192	994.0262	1007.2437	99.8729	FS210 SL
193	992.2782	1005.8364	99.8601	FS211 SL
194	991.9115	1006.7098	99.8698	FS212 SL N=2
195	994.6912	1006.4310	99.8697	FS214 UB
196	994.1493	1007.2664	99.8796	FS213 NAIL
197	991.5310	1005.9484	99.8720	FS217 UB
198	991.8765	1006.1504	99.8818	FS218 SL
199	992.2186	1006.2156	99.8853	FS221 SL
200	991.8080	1006.4213	99.9073	FS222 SL
201	991.5104	1005.8312	99.8649	FS223 UB
202	994.8919	1006.6802	99.8529	FS224 R
203	995.1019	1006.3748	99.8581	FS225 T
204	991.6149	1006.1337	99.8890	FS225 UB N=2
205	991.5586	1006.2931	99.8909	FS226 SL
206	991.6661	1006.2199	99.8891	FS227 SL
207	991.8094	1006.3264	99.8613	FS228 UB
208	991.7917	1006.4015	99.8577	FS229 B
209	994.5825	1005.9122	99.8773	FS230 UB
210	994.0543	1006.3914	99.8577	FS231 UB
