FS116 T	1007.7586	1005.9665	100.0131	
FS117 UB	1007.8724	1006.0153	100.0125	
FS118 UB	1007.7734	1006.0781	100.0104	
FS119 UB	1007.8292	1006.2493	100.0152	
FS120 UB	1007.6902	1006.2782	100.0130	
FS121 UB	1007.6703	1006.1756	100.0165	
FS122 UB	1007.7763	1006.4102	100.0025	
FS123 UB	1007.5695	1004.6184	100.0159	
FS124 B	1006.6944	1003.9990	99.9706	
FS125 UB	1007.8574	1006.5003	100.0066	
FS126 UB	1007.5234	1004.5215	100.0002	
FS127 UB	1008.1586	1007.4343	100.0169	
FS128 UB	1008.1593	1007.4782	100.0101	
FS135 UB	1007.9141	1004.7439	100.0259	
FS136 UB	1007.4075	1004.5000	100.0077	
FS137 UB	1008.2252	1004.2464	100.0401	
FS138 UB	1008.2670	1004.9139	100.0250	
FS139 UB	1009.0562	1004.8383	100.0108	
FS140 UB	1008.4586	1007.0118	100.0507	
FS141 UB	1006.6827	1004.4833	100.0016	
FS142 UB	1007.8165	1004.9600	100.0119	
FS143 UB	1009.3448	1004.6508	99.9848	
FS144 UB	1008.4010	1004.6204	99.9994	
FS145 UB	1008.3518	1006.9055	100.0479	
FS146 UB	1007.8579	1007.9064	100.0417	
FS147 B	1006.5680	1005.4224	100.0094	
FS148 UB	1007.1651	1004.9282	100.0412	
FS149 UB	1006.5505	1004.0980	100.0122	
FS150 UB	1006.4372	1006.0399	100.0131	
FS151 UB	1008.8515	1006.2181	100.0295	
FS152 UB	1008.7357	1005.1824	100.0249	
FS153 BL	1007.1477	1004.8657	100.0269	
FS154 B	1007.2739	1004.7490	100.0185	
FS155 UB	1007.4851	1005.0630	100.0341	
FS156 UB	1008.7454	1005.0482	99.9980	
FS157 LIT	1008.9369	1005.1367	99.9950	
FS158 UB	1007.4537	1004.9128	100.0154	
FS159 UB	1008.7361	1006.2598	100.0292	
FS160 LIT	1008.9537	1005.2673	99.9873	
FS161 SL	1007.2965	1005.0197	100.0386	
FS162 LIT	1008.9211	1005.9753	100.0289	
FS163 B	1007.1647	1004.9123	100.0188	
FS164 UB	1008.7124	1005.1641	99.9933	
FS165 UB	1007.3229	1005.8090	100.0176	
FS166 BL	1007.1420	1004.8929	100.0067	
FS167 UB	1008.9440	1006.1557	100.0156	
FS168 B	1008.9044	1006.1954	100.0153	
FS169 UB	1008.7180	1005.1154	99.9901	
FS170 UB	1008.7926	1006.1109	100.0156	
FS171 B	1009.0308	1006.0453	100.0247	
FS172 B	1008.9650	1006.2134	100.0124	
FS173 UB	1007.1002	1005.0047	100.0255	
FS174 SLA	1007.5485	1006.0878	100.0095	
FS175 UB	1006.2277	1006.3125	100.0011	
FS176 UB	1007.7486	1007.7062	99.9873	
